time,lnd_whl_spd,rnd_whl_spd,whl_ang,sht_lvr_pos,veh_spd,ld_whl_spd,rd_whl_spd
35634,16.38,17.72,148.19,0.0,0.0,0.0,0.0
35635,0.0,0.0,351.62,4.0,12.38,0.0,0.0
35636,10.84,14.56,532.38,4.0,10.3,0.0,0.0
35637,0.0,0.0,534.75,4.0,10.19,8.03,12.31
35638,0.0,0.0,414.5,4.0,10.23,9.44,13.06
35639,0.0,0.0,168.94,4.0,11.31,0.0,0.0
35640,14.5,15.31,-18.31,4.0,14.73,17.0,16.81
35641,17.56,17.28,-15.81,0.0,17.33,0.0,0.0
35642,0.0,0.0,-11.0,4.0,16.03,0.0,0.0
35643,13.91,13.84,-5.94,0.0,0.0,0.0,0.0
35644,11.81,11.75,-1.31,4.0,12.94,10.69,10.69
35645,0.0,0.0,-1.0,4.0,0.0,9.22,9.22
35646,4.06,4.0,-1.88,4.0,4.0,0.0,0.0
35647,0.0,0.0,-1.88,0.0,2.31,0.0,0.0
35648,1.28,1.28,-2.06,4.0,1.34,1.47,1.47
35649,0.0,0.0,-2.06,0.0,0.0,1.19,1.19
35650,0.78,0.78,-2.12,0.0,0.0,0.0,0.0
35651,0.0,0.0,-2.12,0.0,0.5,0.0,0.0
35652,0.0,0.0,-2.19,4.0,0.22,0.0,0.0
35653,0.0,0.0,0.75,4.0,0.0,0.0,0.0
35654,0.0,0.0,0.38,4.0,0.06,0.0,0.0
35655,0.0,0.0,0.19,0.0,0.0,0.0,0.0
35656,0.0,0.0,0.0,4.0,0.06,0.0,0.0
35657,0.0,0.0,1.06,4.0,0.06,0.0,0.0
35658,0.0,0.0,1.06,4.0,0.06,0.0,0.0
35659,0.0,0.0,0.0,0.0,0.06,0.0,0.0
35660,0.0,0.0,1.06,4.0,0.0,0.0,0.0
35661,0.0,0.0,0.0,4.0,0.0,0.0,0.0
35662,0.0,0.0,0.0,4.0,0.06,0.0,0.0
35663,0.0,0.0,1.06,4.0,0.06,0.0,0.0
35664,0.0,0.0,1.06,4.0,0.06,0.0,0.0
35665,0.0,0.0,0.0,4.0,0.06,0.0,0.0
35666,0.0,0.0,1.06,4.0,0.06,0.0,0.0
35667,0.0,0.0,1.06,0.0,0.06,0.0,0.0
35668,0.0,0.0,1.06,4.0,0.0,0.0,0.0
35669,0.0,0.0,1.06,0.0,0.06,0.0,0.0
35670,0.0,0.0,1.06,4.0,0.06,0.0,0.0
35671,0.0,0.0,1.06,0.0,0.0,0.0,0.0
35672,0.0,0.0,1.06,4.0,0.0,0.0,0.0
35673,0.0,0.0,1.06,4.0,0.0,0.0,0.0
35674,0.0,0.0,1.06,4.0,0.0,0.0,0.0
35675,0.0,0.0,1.06,4.0,0.06,0.0,0.0
35676,0.0,0.0,1.06,4.0,0.06,0.0,0.0
35677,0.0,0.0,3.75,4.0,0.06,0.0,0.0
35678,0.0,0.0,3.19,4.0,0.06,0.0,0.0
35679,0.0,0.0,3.19,4.0,0.0,0.0,0.0
35680,0.0,0.0,3.12,4.0,0.06,0.0,0.0
35681,0.0,0.0,3.19,4.0,0.06,0.0,0.0
35682,0.0,0.0,3.19,4.0,0.06,0.0,0.0
35683,0.0,0.0,3.19,4.0,0.06,0.0,0.0
35684,0.0,0.0,3.19,4.0,0.06,0.0,0.0
35685,0.0,0.0,3.19,4.0,0.06,0.0,0.0
35686,0.0,0.0,0.0,4.0,0.06,0.0,0.0
35687,0.0,0.0,3.19,4.0,0.06,0.0,0.0
35688,0.0,0.0,3.19,4.0,0.06,0.0,0.0
35689,0.0,0.0,0.0,4.0,0.06,0.0,0.0
35690,0.0,0.0,0.0,4.0,0.0,0.0,0.0
35691,1.19,1.12,3.0,4.0,0.95,0.0,0.0
35692,3.78,3.72,2.38,4.0,0.0,6.41,6.41
35693,0.0,0.0,2.25,4.0,12.03,12.16,12.22
35694,0.0,0.0,0.0,4.0,0.0,18.72,18.78
35695,20.25,20.25,12.62,4.0,0.0,0.0,0.0
35696,23.06,23.19,13.19,4.0,0.0,0.0,0.0
35697,0.0,0.0,53.38,4.0,22.72,0.0,0.0
35698,0.0,0.0,0.0,4.0,0.0,21.78,22.78
35699,20.59,22.5,0.0,4.0,0.0,20.47,22.34
35700,20.31,22.56,161.44,4.0,0.0,0.0,0.0
35701,0.0,0.0,159.5,4.0,22.56,0.0,0.0
35702,0.0,0.0,4.94,4.0,0.0,0.0,0.0
35703,0.0,0.0,0.0,4.0,30.2,0.0,0.0
35704,39.38,39.31,-0.75,4.0,37.86,0.0,0.0
35705,39.44,39.5,1.81,4.0,0.0,0.0,0.0
35706,43.81,43.88,0.0,4.0,0.0,42.19,42.19
35707,44.78,44.78,0.38,4.0,0.0,0.0,0.0
35708,0.0,0.0,0.75,4.0,45.22,45.28,45.22
35709,0.0,0.0,0.0,4.0,0.0,44.66,44.72
35710,43.38,43.38,0.38,4.0,41.45,42.34,42.34
35711,0.0,0.0,1.69,4.0,38.59,40.09,40.22
35712,0.0,0.0,1.94,4.0,34.98,32.91,32.91
35713,0.0,0.0,14.0,4.0,27.91,30.66,30.66
35714,0.0,0.0,0.0,4.0,19.97,0.0,0.0
35715,0.0,0.0,102.62,4.0,16.25,17.44,18.41
35716,0.0,0.0,0.0,4.0,15.69,0.0,0.0
35717,0.0,0.0,0.0,4.0,14.28,0.0,0.0
35718,0.0,0.0,134.94,4.0,9.5,0.0,0.0
35719,7.66,8.44,160.94,4.0,7.81,0.0,0.0
35720,0.0,0.0,197.88,4.0,7.81,0.0,0.0
35721,0.0,0.0,184.94,4.0,10.86,0.0,0.0
35722,9.84,9.69,25.56,4.0,9.84,10.53,10.81
35723,0.0,0.0,0.0,4.0,6.3,0.0,0.0
35724,0.0,0.0,1.44,4.0,4.5,0.0,0.0
35725,0.0,0.0,1.44,4.0,0.0,0.0,0.0
35726,0.0,0.0,1.44,4.0,0.06,0.0,0.0
35727,0.0,0.0,0.0,0.0,0.06,0.0,0.0
35728,0.0,0.0,0.0,0.0,0.06,0.0,0.0
35729,0.0,0.0,0.0,4.0,0.0,0.0,0.0
35730,0.0,0.0,1.44,4.0,0.06,0.0,0.0
35731,0.0,0.0,1.44,4.0,0.0,0.0,0.0
35732,0.0,0.0,1.44,4.0,0.06,0.0,0.0
35733,0.0,0.0,1.44,0.0,0.06,0.0,0.0
35734,0.0,0.0,1.44,4.0,0.06,0.0,0.0
35735,0.0,0.0,1.44,0.0,0.0,0.0,0.0
35736,0.0,0.0,1.44,4.0,0.06,0.0,0.0
35737,0.0,0.0,1.44,0.0,0.0,0.0,0.0
35738,0.0,0.0,1.44,4.0,0.06,0.0,0.0
35739,0.0,0.0,1.44,0.0,0.06,0.0,0.0
35740,0.0,0.0,1.44,0.0,0.06,0.0,0.0
35741,0.0,0.0,1.44,0.0,0.06,0.0,0.0
35742,0.0,0.0,1.44,0.0,0.06,0.0,0.0
35743,0.0,0.0,1.44,0.0,0.0,0.0,0.0
35744,0.0,0.0,1.44,0.0,0.0,0.0,0.0
35745,0.0,0.0,1.44,0.0,0.06,0.0,0.0
35746,0.0,0.0,1.5,0.0,0.06,0.0,0.0
35747,0.0,0.0,1.88,0.0,0.0,0.0,0.0
35748,0.0,0.0,196.19,0.0,0.06,0.0,0.0
35749,0.0,0.0,412.94,0.0,0.0,0.0,0.0
35750,0.0,0.0,525.88,0.0,0.22,0.0,0.0
35751,0.0,0.0,535.75,0.0,0.0,0.0,0.0
35752,0.0,0.0,377.81,0.0,0.0,3.31,4.44
35753,0.0,0.0,212.56,0.0,0.0,4.66,5.5
35754,0.0,0.0,-100.06,0.0,6.47,5.34,5.78
35755,0.0,0.0,-235.25,4.0,0.0,0.0,0.0
35756,0.0,0.0,-174.5,0.0,0.0,0.0,0.0
35757,0.0,0.0,-193.38,4.0,0.0,0.0,0.0
35758,0.0,0.0,-103.88,0.0,4.0,3.44,3.22
35759,0.0,0.0,-49.69,4.0,0.39,0.41,0.34
35760,0.0,0.0,-0.19,4.0,0.0,0.0,0.0
35761,0.0,0.0,-8.0,4.0,0.0,0.0,0.0
35762,6.59,6.59,-0.19,4.0,6.58,0.0,0.0
35763,0.0,0.0,-15.0,4.0,0.0,5.91,5.84
35764,2.97,2.94,-9.62,4.0,4.16,2.81,2.81
35765,1.53,1.53,-2.38,0.0,0.67,0.0,0.0
35766,0.0,0.0,-2.19,4.0,0.22,0.0,0.0
35767,0.0,0.0,-2.12,4.0,0.06,0.0,0.0
35768,0.0,0.0,-2.06,0.0,0.06,0.0,0.0
35769,0.0,0.0,-4.94,4.0,0.06,0.0,0.0
35770,0.0,0.0,-4.94,0.0,0.06,0.0,0.0
35771,0.0,0.0,-4.94,0.0,0.06,0.0,0.0
35772,0.0,0.0,-5.12,4.0,0.0,0.0,0.0
35773,0.0,0.0,-5.12,0.0,0.0,0.0,0.0
35774,0.0,0.0,-7.5,4.0,3.88,1.53,1.62
35775,0.0,0.0,0.0,4.0,0.0,8.94,8.72
35776,0.0,0.0,-48.75,4.0,15.92,16.03,15.47
35777,19.12,19.12,9.12,4.0,17.38,17.72,17.38
35778,20.47,20.47,18.94,4.0,20.36,20.41,20.47
35779,23.47,23.78,24.88,4.0,0.0,23.5,23.91
35780,21.5,21.53,1.06,0.0,22.33,0.0,0.0
35781,18.78,18.84,4.62,4.0,18.95,20.38,20.38
35782,11.81,11.81,3.81,4.0,11.88,14.5,14.56
35783,8.88,8.88,3.12,4.0,6.12,6.03,6.03
35784,0.0,0.0,2.62,1.0,0.34,1.34,1.25
35785,0.0,0.0,2.69,1.0,0.06,0.0,0.0
35786,0.0,0.0,2.69,1.0,0.0,0.0,0.0
35787,0.0,0.0,2.69,1.0,0.0,0.0,0.0
35788,0.0,0.0,2.69,1.0,0.06,0.0,0.0
35789,0.0,0.0,2.69,1.0,0.06,0.0,0.0
35790,0.0,0.0,2.69,1.0,0.06,0.0,0.0
35791,0.0,0.0,-1.44,1.0,0.0,0.0,0.0
35792,0.0,0.0,2.44,1.0,0.06,0.0,0.0
35793,0.0,0.0,2.44,1.0,0.06,0.0,0.0
